"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Nome Census Area, AK"	"02180"	716	98668	725.7	1138.0	1045.8	1230.2
	"North Slope Borough, AK"	"02185"	488	96744	504.4	927.8	826.0	1029.5
	"Northwest Arctic Borough, AK"	"02188"	489	76869	636.1	916.9	829.4	1004.5
	"Petersburg Borough/Census Area, AK"	"02195"	142	19254	737.5	678.8	562.2	795.4
	"Prince of Wales-Hyder Census Area, AK"	"02198"	318	38152	833.5	924.2	807.5	1040.8
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	141	22833	617.5	822.1	653.8	990.4
	"Sitka Borough, AK"	"02220"	625	88321	707.6	659.9	607.2	712.5
	"Skagway Municipality, AK"	"02230"	28	6669	419.9	435.6	281.9	643.0
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	77	12393	621.3	646.6	496.9	827.3
	"Southeast Fairbanks Census Area, AK"	"02240"	462	69635	663.5	772.5	695.8	849.3
	"Valdez-Cordova Census Area, AK"	"02261"	588	94735	620.7	771.7	701.5	841.9
	"Wade Hampton Census Area, AK"	"02270"	595	79904	744.6	1310.6	1188.5	1432.6
	"Wrangell City and Borough, AK"	"02275"	129	14683	878.6	670.5	546.9	794.2
	"Wrangell-Petersburg Census Area, AK"	"02280"	200	24825	805.6	803.8	686.1	921.4
	"Yakutat Borough, AK"	"02282"	36	6255	575.5	525.3	363.8	734.1
	"Yukon-Koyukuk Census Area, AK"	"02290"	547	55237	990.3	1005.7	917.8	1093.5
	"Apache County, AZ"	"04001"	6602	720773	916.0	939.9	916.8	963.1
	"Cochise County, AZ"	"04003"	12886	1283289	1004.1	736.5	723.4	749.6
	"Coconino County, AZ"	"04005"	7871	1386275	567.8	681.4	665.8	696.9
	"Gila County, AZ"	"04007"	7411	534180	1387.4	885.6	863.2	908.0
	"Graham County, AZ"	"04009"	2867	376862	760.8	793.4	764.2	822.7
	"Greenlee County, AZ"	"04011"	608	91818	662.2	670.9	617.2	724.7
	"La Paz County, AZ"	"04012"	2726	205020	1329.6	755.7	720.3	791.2
	"Maricopa County, AZ"	"04013"	288732	41350348	698.3	654.1	651.7	656.5
	"Mohave County, AZ"	"04015"	30531	2051179	1488.5	887.3	876.4	898.1
	"Navajo County, AZ"	"04017"	9916	1085992	913.1	857.1	839.7	874.4
	"Pima County, AZ"	"04019"	91048	10098648	901.6	691.7	687.1	696.3
	"Pinal County, AZ"	"04021"	27910	4102683	680.3	588.6	581.5	595.8
	"Santa Cruz County, AZ"	"04023"	2886	467529	617.3	540.8	520.8	560.8
	"Yavapai County, AZ"	"04025"	28380	2212612	1282.6	720.6	711.3	729.9
	"Yuma County, AZ"	"04027"	14610	2044446	714.6	578.4	568.8	587.9
	"Arkansas County, AR"	"05001"	2459	184043	1336.1	1002.8	962.1	1043.5
	"Ashley County, AR"	"05003"	2586	208616	1239.6	965.3	927.2	1003.4
	"Baxter County, AR"	"05005"	6779	412932	1641.7	851.4	828.7	874.1
	"Benton County, AR"	"05007"	17471	2486793	702.6	704.2	693.7	714.7
	"Boone County, AR"	"05009"	4382	372692	1175.8	837.8	812.3	863.3
	"Bradley County, AR"	"05011"	1518	111398	1362.7	1008.8	956.8	1060.9
	"Calhoun County, AR"	"05013"	679	52348	1297.1	911.8	841.1	982.5
	"Carroll County, AR"	"05015"	3142	278017	1130.1	811.4	781.6	841.1
	"Chicot County, AR"	"05017"	1584	110633	1431.8	990.3	939.4	1041.2
	"Clark County, AR"	"05019"	2487	226072	1100.1	936.0	898.3	973.6
	"Clay County, AR"	"05021"	2419	152514	1586.1	1076.7	1032.3	1121.1
	"Cleburne County, AR"	"05023"	3683	254662	1446.2	858.1	828.4	887.9
	"Cleveland County, AR"	"05025"	1029	83758	1228.5	940.5	881.6	999.5
	"Columbia County, AR"	"05027"	2996	240159	1247.5	982.8	946.6	1019.0
	"Conway County, AR"	"05029"	2642	210767	1253.5	924.4	888.2	960.5
	"Craighead County, AR"	"05031"	9122	1034693	881.6	870.7	852.7	888.8
	"Crawford County, AR"	"05033"	6194	622804	994.5	887.9	865.4	910.3
	"Crittenden County, AR"	"05035"	5072	493987	1026.7	1040.6	1011.5	1069.8
	"Cross County, AR"	"05037"	2292	172388	1329.6	1051.7	1007.8	1095.7
	"Dallas County, AR"	"05039"	1106	76520	1445.4	968.3	908.4	1028.2
	"Desha County, AR"	"05041"	1553	121563	1277.5	1034.6	981.6	1087.6
	"Drew County, AR"	"05043"	1991	185649	1072.5	891.4	851.6	931.3
	"Faulkner County, AR"	"05045"	9218	1206877	763.8	869.9	851.8	887.9
	"Franklin County, AR"	"05047"	2318	178799	1296.4	977.2	936.3	1018.2
	"Fulton County, AR"	"05049"	1745	122416	1425.5	881.6	837.0	926.1
	"Garland County, AR"	"05051"	13820	976398	1415.4	931.4	915.1	947.7
	"Grant County, AR"	"05053"	1955	180792	1081.4	919.4	878.0	960.9
	"Greene County, AR"	"05055"	4833	439261	1100.3	991.7	963.4	1019.9
	"Hempstead County, AR"	"05057"	2448	221516	1105.1	893.7	857.6	929.7
	"Hot Spring County, AR"	"05059"	4065	333912	1217.4	979.2	948.5	1009.9
	"Howard County, AR"	"05061"	1717	135189	1270.1	1017.4	968.5	1066.3
	"Independence County, AR"	"05063"	4134	371716	1112.1	887.5	860.0	914.9
	"Izard County, AR"	"05065"	1950	135229	1442.0	866.3	825.2	907.4
	"Jackson County, AR"	"05067"	2319	173836	1334.0	1068.5	1024.3	1112.6
	"Jefferson County, AR"	"05069"	8370	719526	1163.3	997.6	975.8	1019.4
	"Johnson County, AR"	"05071"	2665	261223	1020.2	878.1	844.4	911.9
	"Lafayette County, AR"	"05073"	1026	70982	1445.4	975.6	912.6	1038.5
	"Lawrence County, AR"	"05075"	2395	168426	1422.0	1018.8	976.8	1060.7
	"Lee County, AR"	"05077"	1228	96819	1268.3	976.0	920.3	1031.7
	"Lincoln County, AR"	"05079"	1358	137820	985.3	902.3	854.0	950.6
	"Little River County, AR"	"05081"	1656	126215	1312.0	985.5	936.8	1034.2
	"Logan County, AR"	"05083"	2839	219097	1295.8	965.2	928.7	1001.6
	"Lonoke County, AR"	"05085"	6497	713583	910.5	957.8	934.1	981.5
	"Madison County, AR"	"05087"	1812	159814	1133.8	908.3	865.5	951.1
	"Marion County, AR"	"05089"	2511	164945	1522.3	918.2	879.1	957.3
	"Miller County, AR"	"05091"	4800	436213	1100.4	959.2	931.7	986.7
	"Mississippi County, AR"	"05093"	5152	437630	1177.3	1121.0	1090.0	1152.0
	"Monroe County, AR"	"05095"	1177	74570	1578.4	1059.8	996.1	1123.6
	"Montgomery County, AR"	"05097"	1321	91246	1447.7	856.3	807.2	905.3
	"Nevada County, AR"	"05099"	1177	86322	1363.5	968.5	911.3	1025.8
	"Newton County, AR"	"05101"	961	79883	1203.0	806.3	751.7	860.9
	"Ouachita County, AR"	"05103"	3523	246538	1429.0	1034.2	998.8	1069.5
	"Perry County, AR"	"05105"	1242	103255	1202.8	905.6	854.0	957.2
	"Phillips County, AR"	"05107"	2657	197183	1347.5	1128.7	1084.5	1173.0
	"Pike County, AR"	"05109"	1398	109771	1273.6	960.0	908.7	1011.2
	"Poinsett County, AR"	"05111"	3400	241514	1407.8	1164.8	1124.8	1204.7
	"Polk County, AR"	"05113"	2737	202894	1349.0	930.8	894.5	967.0
	"Pope County, AR"	"05115"	5914	631674	936.2	856.7	834.6	878.8
	"Prairie County, AR"	"05117"	1089	83395	1305.8	849.9	797.0	902.8
	"Pulaski County, AR"	"05119"	36303	3906447	929.3	856.8	847.9	865.8
	"Randolph County, AR"	"05121"	2425	177559	1365.7	961.7	922.1	1001.4
	"St. Francis County, AR"	"05123"	2772	267393	1036.7	954.7	918.5	990.8
	"Saline County, AR"	"05125"	10722	1157956	925.9	796.1	780.8	811.4
	"Scott County, AR"	"05127"	1282	106993	1198.2	914.2	862.8	965.6
	"Searcy County, AR"	"05129"	1162	79803	1456.1	897.5	842.5	952.5
	"Sebastian County, AR"	"05131"	12705	1273553	997.6	886.3	870.7	901.9
	"Sevier County, AR"	"05133"	1600	171781	931.4	894.0	849.9	938.2
	"Sharp County, AR"	"05135"	2746	171923	1597.2	971.8	932.8	1010.8
	"Stone County, AR"	"05137"	1698	125230	1355.9	840.2	796.9	883.6
	"Union County, AR"	"05139"	5275	402142	1311.7	1038.1	1009.5	1066.7
	"Van Buren County, AR"	"05141"	2368	168244	1407.5	832.7	796.8	868.6
	"Washington County, AR"	"05143"	15160	2220869	682.6	784.5	771.9	797.2
	"White County, AR"	"05145"	8321	785731	1059.0	940.1	919.7	960.5
	"Woodruff County, AR"	"05147"	1030	68334	1507.3	1031.1	964.9	1097.3
	"Yell County, AR"	"05149"	2593	217685	1191.2	957.7	920.3	995.1
	"Alameda County, CA"	"06001"	96410	16071869	599.9	575.5	571.8	579.2
	"Alpine County, CA"	"06003"	140	11212	1248.7	1038.8	846.7	1230.8
	"Amador County, CA"	"06005"	4364	378485	1153.0	689.1	667.5	710.7
	"Butte County, CA"	"06007"	23041	2240147	1028.5	787.1	776.5	797.6
	"Calaveras County, CA"	"06009"	4868	451687	1077.7	683.6	662.9	704.3
	"Colusa County, CA"	"06011"	1511	215205	702.1	668.3	634.2	702.4
	"Contra Costa County, CA"	"06013"	75077	11113314	675.6	590.6	586.3	594.9
	"Del Norte County, CA"	"06015"	2924	278548	1049.7	878.0	845.6	910.4
	"El Dorado County, CA"	"06017"	14746	1849966	797.1	606.0	596.0	616.1
	"Fresno County, CA"	"06019"	65978	9680027	681.6	733.3	727.6	738.9
	"Glenn County, CA"	"06021"	2505	280773	892.2	778.0	747.1	808.8
	"Humboldt County, CA"	"06023"	13038	1354571	962.5	822.0	807.5	836.5
	"Imperial County, CA"	"06025"	10514	1791154	587.0	605.4	593.8	617.1
	"Inyo County, CA"	"06027"	2079	182852	1137.0	706.5	674.6	738.5
	"Kern County, CA"	"06029"	58075	8743261	664.2	813.4	806.6	820.1
	"Kings County, CA"	"06031"	8219	1514497	542.7	696.1	680.8	711.4
	"Lake County, CA"	"06033"	8407	642736	1308.0	928.3	907.5	949.1
	"Lassen County, CA"	"06035"	2395	321418	745.1	737.8	707.7	767.9
	"Los Angeles County, CA"	"06037"	610683	100420562	608.1	591.4	589.9	592.9
	"Madera County, CA"	"06039"	10644	1544529	689.1	707.9	694.4	721.5
	"Marin County, CA"	"06041"	19129	2583943	740.3	480.6	473.5	487.7
	"Mariposa County, CA"	"06043"	1883	176968	1064.0	656.0	624.0	688.1
	"Mendocino County, CA"	"06045"	8456	875533	965.8	714.3	698.5	730.2
	"Merced County, CA"	"06047"	16704	2669822	625.7	732.7	721.5	743.9
	"Modoc County, CA"	"06049"	1126	90937	1238.2	806.0	755.9	856.2
	"Mono County, CA"	"06051"	512	141682	361.4	377.4	343.0	411.7
	"Monterey County, CA"	"06053"	24875	4300579	578.4	571.2	564.0	578.4
	"Napa County, CA"	"06055"	12079	1398366	863.8	627.5	616.1	639.0
	"Nevada County, CA"	"06057"	9923	990010	1002.3	606.3	593.5	619.0
	"Orange County, CA"	"06059"	190717	31310355	609.1	559.8	557.3	562.3
	"Placer County, CA"	"06061"	30468	3739821	814.7	602.0	595.1	608.9
	"Plumas County, CA"	"06063"	2284	190025	1201.9	768.8	734.6	803.0
	"Riverside County, CA"	"06065"	157730	23413159	673.7	649.1	645.9	652.4
	"Sacramento County, CA"	"06067"	110883	14888614	744.8	712.1	707.9	716.3
	"San Benito County, CA"	"06069"	3214	586953	547.6	580.9	560.4	601.3
	"San Bernardino County, CA"	"06071"	134135	21160211	633.9	747.8	743.7	751.9
	"San Diego County, CA"	"06073"	207974	32523777	639.5	602.2	599.5	604.8
	"San Francisco County, CA"	"06075"	56962	8518755	668.7	542.2	537.6	546.7
	"San Joaquin County, CA"	"06077"	52560	7224155	727.6	759.7	753.1	766.2
	"San Luis Obispo County, CA"	"06079"	23450	2786750	841.5	618.6	610.4	626.7
	"San Mateo County, CA"	"06081"	46890	7528385	622.8	504.5	499.9	509.1
	"Santa Barbara County, CA"	"06083"	30613	4390502	697.3	590.4	583.7	597.2
	"Santa Clara County, CA"	"06085"	97659	18826191	518.7	501.7	498.5	504.9
	"Santa Cruz County, CA"	"06087"	17282	2706863	638.5	584.5	575.5	593.5
	"Shasta County, CA"	"06089"	21810	1791572	1217.4	883.5	871.5	895.6
	"Sierra County, CA"	"06091"	361	30394	1187.7	716.3	636.1	796.4
	"Siskiyou County, CA"	"06093"	5658	439261	1288.1	843.9	820.5	867.4
	"Solano County, CA"	"06095"	31586	4322501	730.7	686.2	678.5	693.9
	"Sonoma County, CA"	"06097"	40215	4962851	810.3	612.9	606.7	619.1
	"Stanislaus County, CA"	"06099"	40708	5340511	762.2	783.3	775.6	791.0
	"Sutter County, CA"	"06101"	7911	959415	824.6	739.8	723.4	756.2
	"Tehama County, CA"	"06103"	6453	636104	1014.5	790.0	770.3	809.8
	"Trinity County, CA"	"06105"	1580	131033	1205.8	810.4	766.8	854.1
	"Tulare County, CA"	"06107"	29695	4572599	649.4	760.6	751.8	769.3
	"Tuolumne County, CA"	"06109"	6528	542809	1202.6	738.9	719.9	757.8
	"Ventura County, CA"	"06111"	54770	8428338	649.8	584.2	579.3	589.2
	"Yolo County, CA"	"06113"	12662	2108046	600.7	640.0	628.7	651.4
	"Yuba County, CA"	"06115"	6017	748472	803.9	897.2	874.1	920.3
	"Adams County, CO"	"08001"	27883	4824535	577.9	743.1	734.2	752.1
	"Alamosa County, CO"	"08003"	1362	162350	838.9	873.7	826.4	920.9
	"Arapahoe County, CO"	"08005"	36485	6197409	588.7	624.4	617.9	630.9
	"Archuleta County, CO"	"08007"	933	126920	735.1	545.3	507.9	582.6
	"Baca County, CO"	"08009"	576	36572	1575.0	791.1	719.5	862.6
	"Bent County, CO"	"08011"	625	58928	1060.6	834.8	768.0	901.6
	"Boulder County, CO"	"08013"	17440	3139030	555.6	569.4	560.8	578.0
	"Broomfield County, CO"	"08014"	3547	632815	560.5	586.0	566.5	605.5
	"Chaffee County, CO"	"08015"	1767	188501	937.4	611.0	581.1	640.8
	"Cheyenne County, CO"	"08017"	199	18576	1071.3	686.7	585.0	788.3
	"Clear Creek County, CO"	"08019"	586	92962	630.4	569.6	519.6	619.6
	"Conejos County, CO"	"08021"	864	82212	1050.9	869.0	809.5	928.5
	"Costilla County, CO"	"08023"	390	36662	1063.8	730.3	650.0	810.6
	"Crowley County, CO"	"08025"	429	56591	758.1	751.2	678.3	824.1
	"Custer County, CO"	"08027"	392	45298	865.4	605.9	536.5	675.3
	"Delta County, CO"	"08029"	3708	305292	1214.6	758.8	732.9	784.6
	"Denver County, CO"	"08031"	44623	6691677	666.8	721.1	714.3	727.9
	"Dolores County, CO"	"08033"	196	20351	963.1	662.0	563.3	760.8
	"Douglas County, CO"	"08035"	12072	3176696	380.0	513.5	504.0	523.1
	"Eagle County, CO"	"08037"	1202	533792	225.2	340.1	317.5	362.8
	"Elbert County, CO"	"08039"	1317	246190	535.0	572.5	539.3	605.8
	"El Paso County, CO"	"08041"	43113	6718999	641.7	707.5	700.7	714.3
	"Fremont County, CO"	"08043"	5425	471469	1150.7	805.2	783.2	827.2
	"Garfield County, CO"	"08045"	3184	580306	548.7	641.1	618.2	664.1
	"Gilpin County, CO"	"08047"	291	57987	501.8	532.8	460.5	605.2
	"Grand County, CO"	"08049"	667	148624	448.8	485.1	445.1	525.1
	"Gunnison County, CO"	"08051"	693	161561	428.9	544.5	501.6	587.4
	"Hinsdale County, CO"	"08053"	58	8069	718.8	509.9	377.2	674.1
	"Huerfano County, CO"	"08055"	1049	66425	1579.2	857.5	797.2	917.7
	"Jackson County, CO"	"08057"	119	13762	864.7	593.2	481.7	704.8
	"Jefferson County, CO"	"08059"	42010	5605174	749.5	661.8	655.4	668.3
	"Kiowa County, CO"	"08061"	210	14061	1493.5	812.4	695.5	929.3
	"Kit Carson County, CO"	"08063"	740	77986	948.9	685.8	634.9	736.7
	"Lake County, CO"	"08065"	388	75570	513.4	598.9	535.9	661.9
	"La Plata County, CO"	"08067"	3230	541356	596.6	571.7	551.4	592.0
	"Larimer County, CO"	"08069"	21341	3280715	650.5	609.3	601.0	617.6
	"Las Animas County, CO"	"08071"	1764	145395	1213.2	832.2	790.9	873.6
	"Lincoln County, CO"	"08073"	538	55371	971.6	674.3	615.7	732.9
	"Logan County, CO"	"08075"	2097	222721	941.5	708.3	677.0	739.5
	"Mesa County, CO"	"08077"	14429	1495092	965.1	744.4	731.9	756.8
	"Mineral County, CO"	"08079"	69	7317	943.0	580.9	437.6	756.1
	"Moffat County, CO"	"08081"	984	132125	744.7	735.9	688.6	783.1
	"Montezuma County, CO"	"08083"	2686	259470	1035.2	768.4	738.2	798.7
	"Montrose County, CO"	"08085"	4245	413771	1025.9	682.3	660.9	703.7
	"Morgan County, CO"	"08087"	2625	283990	924.3	752.3	722.9	781.7
	"Otero County, CO"	"08089"	2404	185259	1297.6	928.9	890.5	967.4
	"Ouray County, CO"	"08091"	282	46635	604.7	471.8	411.5	532.2
	"Park County, CO"	"08093"	901	169772	530.7	509.5	470.9	548.1
	"Phillips County, CO"	"08095"	513	43407	1181.8	671.1	607.0	735.1
	"Pitkin County, CO"	"08097"	540	175664	307.4	294.4	267.9	320.9
	"Prowers County, CO"	"08099"	1278	122096	1046.7	844.7	797.2	892.3
	"Pueblo County, CO"	"08101"	17149	1634928	1048.9	821.4	808.8	834.0
	"Rio Blanco County, CO"	"08103"	515	66015	780.1	706.7	644.6	768.7
	"Rio Grande County, CO"	"08105"	1273	116131	1096.2	817.1	770.5	863.6
	"Routt County, CO"	"08107"	1070	242829	440.6	515.8	482.7	548.8
	"Saguache County, CO"	"08109"	447	63977	698.7	608.0	547.1	668.9
	"San Juan County, CO"	"08111"	43	7093	606.2	555.0	390.8	765.0
	"San Miguel County, CO"	"08113"	226	78180	289.1	357.2	302.1	412.2
	"Sedgwick County, CO"	"08115"	370	23535	1572.1	819.5	728.4	910.6
	"Summit County, CO"	"08117"	633	295297	214.4	283.5	256.5	310.5
	"Teller County, CO"	"08119"	1595	239304	666.5	637.4	602.0	672.7
	"Washington County, CO"	"08121"	504	48460	1040.0	650.4	590.3	710.5
	"Weld County, CO"	"08123"	16673	2846145	585.8	671.2	660.8	681.6
	"Yuma County, CO"	"08125"	1001	100978	991.3	709.9	664.6	755.2
	"Fairfield County, CT"	"09001"	67238	9391211	716.0	574.1	569.7	578.6
	"Hartford County, CT"	"09003"	79721	8950270	890.7	673.9	669.1	678.7
	"Litchfield County, CT"	"09005"	18006	1847958	974.4	670.4	660.2	680.6
	"Middlesex County, CT"	"09007"	15146	1643746	921.4	638.1	627.5	648.6
	"New Haven County, CT"	"09009"	77487	8599124	901.1	685.2	680.2	690.1
	"New London County, CT"	"09011"	24018	2712240	885.5	687.8	678.9	696.7
	"Tolland County, CT"	"09013"	10369	1515122	684.4	618.9	606.8	631.1
	"Windham County, CT"	"09015"	10406	1171713	888.1	750.7	736.0	765.5
	"Kent County, DE"	"10001"	15369	1720693	893.2	794.3	781.5	807.0
	"New Castle County, DE"	"10003"	45503	5520635	824.2	740.5	733.6	747.4
	"Sussex County, DE"	"10005"	24150	2143069	1126.9	735.0	725.2	744.8
	"District of Columbia, DC"	"11001"	48161	6612958	728.3	745.2	738.4	752.0
	"Alachua County, FL"	"12001"	18625	2587352	719.8	730.6	719.9	741.3
	"Baker County, FL"	"12003"	2437	276666	880.8	896.1	859.8	932.5
	"Bay County, FL"	"12005"	18299	1773747	1031.7	844.6	832.1	857.0
	"Bradford County, FL"	"12007"	3007	274201	1096.6	861.5	830.2	892.8
	"Brevard County, FL"	"12009"	68899	5677128	1213.6	755.1	749.1	761.0
	"Broward County, FL"	"12011"	147737	18697427	790.1	624.2	620.9	627.4
	"Calhoun County, FL"	"12013"	1681	145372	1156.3	905.2	861.4	949.0
	"Charlotte County, FL"	"12015"	25026	1723669	1451.9	628.9	619.1	638.6
	"Citrus County, FL"	"12017"	24930	1427187	1746.8	838.9	826.4	851.3
	"Clay County, FL"	"12019"	16617	2033609	817.1	791.1	778.8	803.4
	"Collier County, FL"	"12021"	32010	3529211	907.0	459.5	453.8	465.1
	"Columbia County, FL"	"12023"	7804	687830	1134.6	904.9	884.4	925.4
	"DeSoto County, FL"	"12027"	3267	357607	913.6	657.4	634.2	680.6
	"Dixie County, FL"	"12029"	2156	163583	1318.0	920.1	879.5	960.8
	"Duval County, FL"	"12031"	79124	9083262	871.1	850.5	844.4	856.5
	"Escambia County, FL"	"12033"	32672	3089476	1057.5	892.8	882.9	902.6
