"Notes"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)"	"GR113-099"	8440	3194909858	0.3	0.2	0.2	0.2
	"Renal failure (N17-N19)"	"GR113-100"	476971	3194909858	14.9	12.9	12.9	13.0
	"Other disorders of kidney (N25,N27)"	"GR113-101"	245	3194909858	0.0	0.0	0.0	0.0
	"#Infections of kidney (N10-N12,N13.6,N15.1)"	"GR113-102"	7377	3194909858	0.2	0.2	0.2	0.2
	"#Hyperplasia of prostate (N40)"	"GR113-103"	5680	3194909858	0.2	0.1	0.1	0.1
	"#Inflammatory diseases of female pelvic organs (N70-N76)"	"GR113-104"	1378	3194909858	0.0	0.0	0.0	0.0
	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	10662	3194909858	0.3	0.4	0.4	0.4
	"Pregnancy with abortive outcome (O00-O07)"	"GR113-106"	251	3194909858	0.0	0.0	0.0	0.0
	"Other complications of pregnancy, childbirth and the puerperium (O10-O99)"	"GR113-107"	10411	3194909858	0.3	0.4	0.4	0.4
	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	115508	3194909858	3.6	4.1	4.0	4.1
	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	97695	3194909858	3.1	3.2	3.1	3.2
	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	353698	3194909858	11.1	9.9	9.9	9.9
	"All other diseases (Residual) "	"GR113-111"	3181839	3194909858	99.6	86.3	86.2	86.4
	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	1459622	3194909858	45.7	43.4	43.4	43.5
	"Transport accidents (V01-V99,Y85)"	"GR113-113"	401411	3194909858	12.6	12.2	12.2	12.3
	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	374643	3194909858	11.7	11.4	11.4	11.5
	"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)"	"GR113-115"	10262	3194909858	0.3	0.3	0.3	0.3
	"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)"	"GR113-116"	16506	3194909858	0.5	0.5	0.5	0.5
	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	1058211	3194909858	33.1	31.2	31.1	31.3
	"Falls (W00-W19)"	"GR113-118"	325702	3194909858	10.2	8.9	8.8	8.9
	"Accidental discharge of firearms (W32-W34)"	"GR113-119"	5125	3194909858	0.2	0.2	0.2	0.2
	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	36185	3194909858	1.1	1.1	1.1	1.1
	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	27305	3194909858	0.9	0.8	0.8	0.8
	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	485316	3194909858	15.2	15.2	15.2	15.3
	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	178578	3194909858	5.6	5.1	5.0	5.1
	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	434643	3194909858	13.6	13.2	13.1	13.2
	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	219792	3194909858	6.9	6.6	6.5	6.6
	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	214851	3194909858	6.7	6.6	6.6	6.7
	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	175814	3194909858	5.5	5.6	5.6	5.7
	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	126292	3194909858	4.0	4.1	4.0	4.1
	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	49522	3194909858	1.6	1.6	1.5	1.6
	"#Legal intervention (Y35,Y89.0)"	"GR113-130"	5450	3194909858	0.2	0.2	0.2	0.2
	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	51375	3194909858	1.6	1.6	1.5	1.6
	"Discharge of firearms, undetermined intent (Y22-Y24)"	"GR113-132"	2931	3194909858	0.1	0.1	0.1	0.1
	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	48444	3194909858	1.5	1.5	1.5	1.5
	"#Operations of war and their sequelae (Y36,Y89.1)"	"GR113-134"	115	3194909858	0.0	0.0	0.0	0.0
	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	33266	3194909858	1.0	0.9	0.9	0.9
	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	67995	3194909858	2.1	1.8	1.8	1.9
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019"
"Group By: ICD-10 113 Cause List"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Nov 24, 2023 3:37:24 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Nov 24, 2023 3:37:24 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Totals and Percent of Total are disabled when data are grouped by 113 or 130 Cause Lists. Check Caveats below for more"
"information."
"3. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"4. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Footnotes:
"1. A '#' symbol preceding the label indicates a rankable cause of death. More information."
"---"
Caveats:
"1. Totals and Percent of Total are disabled when data are grouped by a 113 or 130 Cause List because both aggregate and detailed"
"values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be"
"misleading."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"3. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"4. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"5. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2000 Standard Population."
"6. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Age-Adjusted Rates."
"7. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"8. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Confidence-Intervals."
"9. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"10. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
"11. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
